VAR00001,a63,a7a,a11,a62,e90f,e10,e11,e8901,e8902,e8903,e8904,e8905,e8906,e8907,e8908,e8909,e8910,e89a,s1,s41,s42,s43,s44,s45
 ,2,6,50,80000, ,3,4,0,0,0,0,1,0,0,0,0,0, ,1,4,7,15,27,51
 ,4,3,160,50000, ,6,8,0,1,0,0,0,0,0,0,0,0, ,1,4,7,18,31,56
 ,3,13,54,300000, , , , , , , , , , , , , , ,1,4,7,21,36,64
 ,2,10,63,50000, ,2,5,0,0,0,0,0,1,0,0,0,0, ,1,4,7,20,34,61
 ,2,6,64,100000, , , , , , , , , , , , , , ,1,4,7,19,33,60
 ,1,4,70,60000, , , , , , , , , , , , , , ,1,4,7,19,32,58
 ,3,4,84,110000, , , , , , , , , , , , , , ,1,4,7,14,26,48
 ,4,7,54,250000, ,7,9,0,0,0,0,0,1,0,0,0,0, ,1,4,7,20,35,63
 ,3,3,45,60000, , , , , , , , , , , , , , ,1,4,7,14,26,49
 ,4,4,140,20000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,2,6,30,-3, ,4,6,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,37,67
 ,2,13,25,-3, , , , , , , , , , , , , , ,1,4,7,20,34,61
 ,2,4,10,35000, ,5,6,0,0,0,0,1,0,0,0,0,0, ,1,4,7,15,27,51
 ,2,3,10,50000, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,3,12,70,200000, , , , , , , , , , , , , , ,1,4,7,20,35,62
 ,6,1,120,200000, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,2,13,100,120000, , , , , , , , , , , , , , ,1,4,7,21,37,66
 ,6,9,128,200000, , , , , , , , , , , , , , ,1,4,7,21,37,66
 ,1,3,15,36000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,1,12,56,48000, , , , , , , , , , , , , , ,1,4,7,14,25,46
 ,3,6,54,100000, ,3,3,0,1,0,0,1,0,0,0,0,0, ,1,4,7,20,35,63
 ,3,6,57,50000, ,3,5,0,0,0,0,0,1,0,0,0,0, ,1,4,7,15,27,50
 ,2,12,120,90000, ,6,7,0,0,0,0,0,0,1,0,0,0, ,1,4,7,22,38,68
 ,3,6,88,140000, ,9,9,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,37,67
 ,4,13,93,120000, , , , , , , , , , , , , , ,1,4,7,16,29,53
 ,4,6,30,100000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,2,13,65,-3, ,-8,8,0,0,1,0,0,1,0,0,0,0, ,1,4,7,22,38,68
 ,2,4,103,50000, , , , , , , , , , , , , , ,1,4,7,19,33,60
 ,5,4,60,120000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,1,5,50,50000, , , , , , , , , , , , , , ,1,4,7,20,35,62
 ,8,12,90,300000, ,8,9,0,0,0,0,0,1,0,0,0,0, ,1,4,7,19,32,58
 ,5,9,102,-2, , , , , , , , , , , , , , ,1,4,7,21,37,66
 ,4,7,69.1999969482422,50000, , , , , , , , , , , , , , ,1,4,7,15,27,50
 ,3,13,62,200000, , , , , , , , , , , , , , ,1,4,7,20,34,61
 ,4,10,30,200000, , , , , , , , , , , , , , ,1,4,7,20,35,63
 ,4,4,8,160000, , , , , , , , , , , , , , ,1,4,7,21,37,66
 ,2,3,10,24000, , , , , , , , , , , , , , ,1,4,7,20,35,63
 ,3,10,60,200000, ,6,8,0,0,0,0,0,1,0,0,0,0, ,1,4,7,14,26,49
 ,1,4,8,50000, , , , , , , , , , , , , , ,1,4,7,19,32,59
 ,3,7,79,140000, , , , , , , , , , , , , , ,1,4,7,20,35,62
 ,1,9,50,0, , , , , , , , , , , , , , ,1,4,7,16,29,53
 ,3,12,110,200000, , , , , , , , , , , , , , ,1,4,7,19,32,59
 ,5,4,97,180000, ,8,9,0,0,1,0,0,1,0,0,0,0, ,1,4,7,19,32,59
 ,3,10,70,-3, , , , , , , , , , , , , , ,1,4,7,20,35,63
 ,1,6,10,500000, ,1,1,0,0,0,0,0,0,0,0,0,0,电,1,4,7,21,37,67
 ,1,4,10,80000, , , , , , , , , , , , , , ,1,4,7,14,26,49
 ,2,12,95,90000, , , , , , , , , , , , , , ,1,4,7,17,30,54
 ,2,4,10,60000, , , , , , , , , , , , , , ,1,4,7,15,27,51
 ,2,11,70,84000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,3,10,40,120000, , , , , , , , , , , , , , ,1,4,7,20,35,62
 ,2,12,50,80000, ,4,6,0,0,0,0,0,1,0,0,0,0, ,1,4,7,17,30,54
 ,1,10,10,-2, , , , , , , , , , , , , , ,1,4,7,15,27,51
 ,3,4,64,140000, , , , , , , , , , , , , , ,1,4,7,18,31,57
 ,1,2,74,13000, , , , , , , , , , , , , , ,1,4,7,18,31,57
 ,3,12,60,300000, , , , , , , , , , , , , , ,1,4,7,21,37,66
 ,4,10,125,-2, , , , , , , , , , , , , , ,1,4,7,17,30,55
 ,2,4,90,30000, , , , , , , , , , , , , , ,1,4,7,17,30,54
 ,1,6,10,-2, , , , , , , , , , , , , , ,1,4,7,21,36,64
 ,2,9,53.7999992370605,55000, , , , , , , , , , , , , , ,1,4,7,17,30,55
 ,4,7,108,100000, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,4,6,118,300000, ,8,9,0,0,0,0,0,1,0,0,0,0, ,1,4,7,17,30,55
 ,2,7,63.0999984741211,50000, ,6,8,0,0,0,0,1,0,0,0,0,0, ,1,4,7,18,31,56
 ,2,10,69,50000, ,8,9,0,0,0,0,0,1,0,0,0,0, ,1,4,7,16,28,52
 ,3,6,73,60000, , , , , , , , , , , , , , ,1,4,7,18,31,57
 ,2,4,87,60000, , , , , , , , , , , , , , ,1,4,7,17,30,54
 ,2,11,90,-2, , , , , , , , , , , , , , ,1,4,7,19,33,60
 ,3,4,50,50000, ,7,8,0,1,0,0,1,0,0,0,0,0, ,1,4,7,15,27,51
 ,3,12,136,55000, , , , , , , , , , , , , , ,1,4,7,16,29,53
 ,2,12,105,150000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,2,12,72,150000, ,5,2,0,0,0,0,0,1,0,0,0,0, ,1,4,7,20,35,62
 ,4,3,100,24000, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,4,12,90,400000, ,4,5,0,0,1,0,0,1,0,0,0,0, ,1,4,7,19,32,59
 ,2,4,40,42000, , , , , , , , , , , , , , ,1,4,7,18,31,57
 ,2,6,72,50000, ,5,8,0,0,0,0,1,0,0,0,0,0, ,1,4,7,18,31,57
 ,2,12,153,200000, ,8,9,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,37,67
 ,1,11,96,40000, ,5,5,0,0,0,0,0,1,0,0,0,0, ,1,4,7,17,30,55
 ,2,7,54,100000, , , , , , , , , , , , , , ,1,4,7,17,30,54
 ,2,4,58,35000, , , , , , , , , , , , , , ,1,4,7,15,27,50
 ,2,7,90,60000, , , , , , , , , , , , , , ,1,4,7,17,30,55
 ,2,13,63,-3, ,3,4,0,0,0,0,0,1,0,0,0,0, ,1,4,7,20,34,61
 ,6,6,64.5,-2, , , , , , , , , , , , , , ,1,4,7,20,34,61
 ,3,3,15,4000, , , , , , , , , , , , , , ,1,4,7,15,27,50
 ,1,4,10,5000, , , , , , , , , , , , , , ,1,4,7,19,32,59
 ,2,1,260,12000, , , , , , , , , , , , , , ,1,4,7,20,35,63
 ,3,4,170,40000, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,2,4,12,-2, ,1,1,0,0,0,0,0,0,0,0,0,0,电,1,4,7,15,27,50
 ,3,10,159,150000, , , , , , , , , , , , , , ,1,4,7,19,32,59
 ,2,10,18,14000, , , , , , , , , , , , , , ,1,4,7,20,35,63
 ,5,12,79.5999984741211,-2, , , , , , , , , , , , , , ,1,4,7,15,27,50
 ,2,4,100,84000, , , , , , , , , , , , , , ,1,4,7,17,30,55
 ,3,4,170,60000, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,2,4,70,72000, , , , , , , , , , , , , , ,1,4,7,19,33,60
 ,3,12,70,800000, ,4,4,0,0,0,0,0,0,0,0,0,0,电,1,4,7,17,30,55
 ,1,4,45,66000, ,7,8,0,0,0,0,0,0,1,0,0,0, ,1,4,7,18,31,57
 ,6,3,84,40000, , , , , , , , , , , , , , ,1,4,7,16,28,52
 ,1,6,55,30000, , , , , , , , , , , , , , ,1,4,7,19,32,58
 ,4,7,120,20000, , , , , , , , , , , , , , ,1,4,7,19,32,58
 ,1,4,43,25000, ,5,6,0,0,0,0,0,1,0,0,0,0, ,1,4,7,19,33,60
 ,2,13,45,300000, , , , , , , , , , , , , , ,1,4,7,21,37,67
 ,2,6,70,66000, ,3,3,0,0,0,0,0,1,0,0,0,0, ,1,4,7,19,33,60
 ,1,3,50,30000, ,3,6,0,0,0,0,1,0,0,0,0,0, ,1,4,7,15,27,51
 ,5,7,90,250000, , , , , , , , , , , , , , ,1,4,7,21,37,66
 ,2,4,7,80000, , , , , , , , , , , , , , ,1,4,7,15,27,51
 ,4,11,101,200000, , , , , , , , , , , , , , ,1,4,7,15,27,50
 ,1,6,90,80000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,1,6,67,36000, , , , , , , , , , , , , , ,1,4,7,14,26,48
 ,2,6,150,43560, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,5,10,65,-3, , , , , , , , , , , , , , ,1,4,7,21,36,64
 ,3,6,80,-3, , , , , , , , , , , , , , ,1,4,7,15,27,50
 ,1,4,14,5000, ,2,2,0,0,0,0,1,0,0,0,0,0, ,1,4,7,20,35,63
 ,2,3,76,-2, , , , , , , , , , , , , , ,1,4,7,22,38,68
 ,3,9,196,70000, , , , , , , , , , , , , , ,1,4,7,15,27,51
 ,4,7,7,50000, , , , , , , , , , , , , , ,1,4,7,17,30,55
 ,3,4,75,-2, , , , , , , , , , , , , , ,1,4,7,22,38,68
 ,-1,6,15,300000, ,-8,6,0,0,0,0,0,0,0,0,0,0,什么都不用,1,4,7,15,27,51
 ,3,13,116,150000, ,3,3,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,37,66
 ,4,6,114,-3, , , , , , , , , , , , , , ,1,4,7,15,27,50
 ,3,12,72,280000, , , , , , , , , , , , , , ,1,4,7,16,29,53
 ,1,13,34,400000, ,-8,-8,0,0,0,0,0,1,0,0,0,0, ,1,4,7,14,26,49
 ,4,4,46,50000, , , , , , , , , , , , , , ,1,4,7,20,35,62
 ,5,4,52.5999984741211,200000, ,6,7,0,0,0,0,0,1,0,0,0,0, ,1,4,7,20,35,63
 ,3,9,41,100000, , , , , , , , , , , , , , ,1,4,7,14,26,49
 ,2,10,89,66000, , , , , , , , , , , , , , ,1,4,7,21,37,66
 ,2,13,55,120000, , , , , , , , , , , , , , ,1,4,7,21,36,64
 ,2,12,111,110000, ,6,5,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,37,67
 ,3,12,59,110000, , , , , , , , , , , , , , ,1,4,7,15,27,50
 ,2,4,56,125000, ,6,8,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,37,66
 ,2,6,56,120000, , , , , , , , , , , , , , ,1,4,7,21,36,65
 ,2,10,70,72000, , , , , , , , , , , , , , ,1,4,7,19,33,60
 ,3,4,48,120000, ,2,2,0,0,1,0,0,1,0,0,0,0, ,1,4,7,20,34,61
 ,3,6,98,60000, , , , , , , , , , , , , , ,1,4,7,21,36,65
 ,4,7,120,250000, ,5,6,0,0,1,0,0,1,0,0,0,0, ,1,4,7,19,32,58
 ,2,13,70,-2, ,6,8,0,0,0,0,0,1,0,0,0,0, ,1,4,7,14,25,46
 ,4,4,17,70000, , , , , , , , , , , , , , ,1,4,7,15,27,51
 ,2,10,57.4000015258789,230000, , , , , , , , , , , , , , ,1,4,7,21,36,64
 ,4,4,17,25000, , , , , , , , , , , , , , ,1,4,7,15,27,51
 ,2,9,90,100000, , , , , , , , , , , , , , ,1,4,7,21,37,66
 ,4,3,135,150000, , , , , , , , , , , , , , ,1,4,7,16,29,53
 ,4,12,96,3000000, , , , , , , , , , , , , , ,1,4,7,19,32,59
 ,1,4,63.4000015258789,42000, , , , , , , , , , , , , , ,1,4,7,20,35,62
 ,1,12,90,0, , , , , , , , , , , , , , ,1,4,7,22,38,68
 ,3,6,58,200000, , , , , , , , , , , , , , ,1,4,7,15,27,50
 ,3,4,12,50000, , , , , , , , , , , , , , ,1,4,7,15,27,51
 ,3,11,33,80000, , , , , , , , , , , , , , ,1,4,7,21,36,64
 ,3,12,140,200000, , , , , , , , , , , , , , ,1,4,7,22,38,68
 ,3,10,50,120000, , , , , , , , , , , , , , ,1,4,7,21,36,65
 ,3,3,59,67200, , , , , , , , , , , , , , ,1,4,7,20,34,61
 ,4,4,72,50000, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,2,3,40,0, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,3,12,90,130000, ,9,9,0,0,0,0,0,1,0,0,0,0, ,1,4,7,20,35,63
 ,2,7,97,100000, , , , , , , , , , , , , , ,1,4,7,17,30,54
 ,2,10,40,100000, , , , , , , , , , , , , , ,1,4,7,19,32,59
 ,1,6,65,80000, , , , , , , , , , , , , , ,1,4,7,21,37,66
 ,4,12,74,450000, , , , , , , , , , , , , , ,1,4,7,16,29,53
 ,1,1,45,21600, , , , , , , , , , , , , , ,1,4,7,19,33,60
 ,1,12,60,6000, ,-8,8,0,0,0,0,0,1,0,0,0,0, ,1,4,7,20,34,61
 ,3,6,56,60000, , , , , , , , , , , , , , ,1,4,7,18,31,57
 ,3,9,90,50000, ,5,6,0,0,0,0,0,1,0,0,0,0, ,1,4,7,17,30,54
 ,3,12,54,440000, , , , , , , , , , , , , , ,1,4,7,20,34,61
 ,2,6,77,100000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,3,11,129,60000, , , , , , , , , , , , , , ,1,4,7,19,32,58
 ,1,10,140,40000, , , , , , , , , , , , , , ,1,4,7,19,32,59
 ,3,12,80,350000, , , , , , , , , , , , , , ,1,4,7,19,32,58
 ,1,10,8,50000, , , , , , , , , , , , , , ,1,4,7,15,27,51
 ,3,6,97,100000, , , , , , , , , , , , , , ,1,4,7,21,37,67
 ,2,7,84,60000, , , , , , , , , , , , , , ,1,4,7,21,36,65
 ,2,6,160,60000, , , , , , , , , , , , , , ,1,4,7,20,35,63
 ,2,5,8,30000, ,1,1,0,0,0,0,0,0,0,0,0,0,电,1,4,7,19,32,58
 ,2,4,65,100000, , , , , , , , , , , , , , ,1,4,7,14,26,49
 ,2,4,49,96000, , , , , , , , , , , , , , ,1,4,7,14,25,46
 ,3,6,150,75000, , , , , , , , , , , , , , ,1,4,7,16,28,52
 ,1,4,20,50000, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,3,6,49,100000, ,3,1,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,36,64
 ,5,12,105,150000, ,6,7,0,0,0,0,0,1,0,0,0,0, ,1,4,7,20,35,62
 ,4,4,30,-3, , , , , , , , , , , , , , ,1,4,7,15,27,50
 ,2,4,24,50000, ,6,6,0,0,0,0,0,1,0,0,0,0, ,1,4,7,15,27,50
 ,3,12,90,200000, , , , , , , , , , , , , , ,1,4,7,20,35,62
 ,2,4,8,80000, ,4,6,0,0,0,0,1,0,0,0,0,0, ,1,4,7,15,27,51
 ,2,4,60,120000, , , , , , , , , , , , , , ,1,4,7,21,36,64
 ,5,13,168,200000, , , , , , , , , , , , , , ,1,4,7,16,29,53
 ,2,3,40,20000, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,3,4,120,100000, ,6,7,0,0,0,0,0,1,0,0,0,0, ,1,4,7,17,30,55
 ,2,10,49,90000, ,5,7,0,0,0,0,0,1,0,0,0,0, ,1,4,7,14,25,46
 ,3,10,90,300000, , , , , , , , , , , , , , ,1,4,7,16,29,53
 ,2,4,120,45000, ,1,1,0,1,0,0,0,0,0,0,0,0, ,1,4,7,20,35,63
 ,4,3,40,100000, , , , , , , , , , , , , , ,1,4,7,20,35,63
 ,3,12,18,90000, , , , , , , , , , , , , , ,1,4,7,21,37,67
 ,5,9,137,80000, , , , , , , , , , , , , , ,1,4,7,22,38,68
 ,2,7,74,30000, , , , , , , , , , , , , , ,1,4,7,22,38,68
 ,10,12,61,110000, ,6,7,0,0,0,0,0,1,0,0,0,0, ,1,4,7,14,26,48
 ,2,6,28,100000, ,3,4,0,0,0,0,0,1,0,0,0,0, ,1,4,7,15,27,51
 ,2,4,94,15000, ,4,4,0,0,0,0,0,1,0,0,0,0, ,1,4,7,22,38,68
 ,4,6,84,50000, ,7,5,0,0,1,0,1,0,0,0,0,0, ,1,4,7,18,31,56
 ,4,7,10,-2,-2,-8,-8,1,0,0,0,0,0,0,0,0,0, ,1,4,7,15,27,50
 ,4,6,111,50000, , , , , , , , , , , , , , ,1,4,7,17,30,55
 ,3,4,120,30000, , , , , , , , , , , , , , ,1,4,7,22,38,68
 ,2,4,18,70000, ,3,3,0,1,0,0,0,0,0,0,0,0, ,1,4,7,18,31,57
 ,2,4,70,100000, , , , , , , , , , , , , , ,1,4,7,16,29,53
 ,1,4,53,120000, ,8,9,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,36,64
 ,1,4,91,120000, , , , , , , , , , , , , , ,1,4,7,22,38,68
 ,2,7,74,72000, ,1,3,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,37,66
 ,4,4,70,60000, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,3,12,110,130000, , , , , , , , , , , , , , ,1,4,7,17,30,54
 ,3,4,35,13000,.699999988079071,6,8,1,0,0,0,0,0,0,0,0,0, ,2,4,7,22,38,69
 ,3,1,68,30000, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,3,12,8,130000, , , , , , , , , , , , , , ,1,4,7,21,37,66
 ,2,12,76,300000, ,4,5,0,0,1,0,0,1,0,0,0,0, ,1,4,7,21,36,64
 ,1,12,60,400000, , , , , , , , , , , , , , ,1,4,7,19,32,59
 ,3,9,52,200000, , , , , , , , , , , , , , ,1,4,7,20,34,61
 ,2,4,75,30000, , , , , , , , , , , , , , ,1,4,7,21,37,67
 ,2,6,90,-2, ,8,9,0,0,0,0,1,0,0,0,0,0, ,1,4,7,17,30,54
 ,6,4,20,70000, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,3,12,53,200000, ,1,1,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,37,66
 ,3,7,20,-2, , , , , , , , , , , , , , ,1,4,7,15,27,51
 ,1,3,13,30000, , , , , , , , , , , , , , ,1,4,7,17,30,55
 ,2,11,48,79200, ,7,8,0,0,0,0,0,0,1,0,0,0, ,1,4,7,18,31,57
 ,3,13,90,300000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,4,4,93,170000, , , , , , , , , , , , , , ,1,4,7,19,32,59
 ,2,10,20,240000, , , , , , , , , , , , , , ,1,4,7,14,26,49
 ,2,3,93,15000, , , , , , , , , , , , , , ,1,4,7,14,26,48
 ,3,12,104,200000, , , , , , , , , , , , , , ,1,4,7,19,32,59
 ,3,10,149,100000, ,8,9,0,0,0,0,0,1,0,0,0,0, ,1,4,7,16,28,52
 ,2,4,110,70000, ,5,6,0,0,1,0,0,1,0,0,0,0, ,1,4,7,19,32,58
 ,3,12,40,60000, ,1,1,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,36,65
 ,3,12,99,500000, ,5,6,0,0,1,0,0,1,0,0,0,0, ,1,4,7,16,28,52
 ,2,12,67,100000, , , , , , , , , , , , , , ,1,4,7,17,30,55
 ,3,11,80,400000, ,7,7,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,37,66
 ,1,12,70,86000, ,4,3,0,0,0,0,0,1,0,0,0,0, ,1,4,7,19,33,60
 ,7,6,80,160000, , , , , , , , , , , , , , ,1,4,7,14,26,49
 ,1,12,60,200000, , , , , , , , , , , , , , ,1,4,7,20,34,61
 ,2,12,65,100000, ,2,3,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,36,65
 ,2,11,80,150000, , , , , , , , , , , , , , ,1,4,7,20,34,61
 ,2,6,44,80000, ,6,6,0,0,0,0,0,1,0,0,0,0, ,1,4,7,15,27,50
 ,4,4,50,92400, , , , , , , , , , , , , , ,1,4,7,17,30,55
 ,1,9,30,80000, ,7,9,0,0,0,0,0,1,0,0,0,0, ,1,4,7,16,29,53
 ,1,4,58,400000, ,5,7,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,37,67
 ,6,6,1300,-2, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,1,1,100,42000, ,5,8,0,1,0,0,0,0,0,0,0,0, ,1,4,7,18,31,57
 ,1,13,40,2000000, , , , , , , , , , , , , , ,1,4,7,18,31,57
 ,4,4,20,50000, , , , , , , , , , , , , , ,1,4,7,15,27,51
 ,1,4,70,12000, , , , , , , , , , , , , , ,1,4,7,18,31,57
 ,4,3,140,100000, ,4,5,0,0,0,0,1,0,0,0,0,0, ,1,4,7,15,27,51
 ,3,10,20,80000, , , , , , , , , , , , , , ,1,4,7,14,26,48
 ,2,12,60,150000, , , , , , , , , , , , , , ,1,4,7,14,25,46
 ,1,12,25,70000, , , , , , , , , , , , , , ,1,4,7,15,27,50
 ,2,6,75,70000, , , , , , , , , , , , , , ,1,4,7,19,33,60
 ,4,3,20,80000, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,4,6,60,80000, , , , , , , , , , , , , , ,1,4,7,20,35,63
 ,3,12,60,150000, , , , , , , , , , , , , , ,1,4,7,19,33,60
 ,2,7,108,120000, , , , , , , , , , , , , , ,1,4,7,18,31,57
 ,4,4,20,110000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,3,12,99,200000, ,6,7,0,0,0,0,0,1,0,0,0,0, ,1,4,7,20,35,62
 ,2,7,48,50000, ,6,8,0,0,0,0,0,1,0,0,0,0, ,1,4,7,15,27,50
 ,2,7,103,-1, ,6,7,0,0,1,0,0,1,0,0,0,0, ,1,4,7,16,29,53
 ,1,4,30,30000, ,3,1,0,0,0,0,1,0,0,0,0,0, ,1,4,7,14,26,48
 ,2,4,70,40000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,4,7,113,200000, , , , , , , , , , , , , , ,1,4,7,17,30,55
 ,1,6,57,140000, ,3,5,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,37,66
 ,4,10,80,150000, , , , , , , , , , , , , , ,1,4,7,22,38,68
 ,3,6,68,100000, , , , , , , , , , , , , , ,1,4,7,20,35,62
 ,3,6,12,-3, , , , , , , , , , , , , , ,1,4,7,20,35,63
 ,2,11,83,100000, ,4,6,0,0,0,0,0,1,0,0,0,0, ,1,4,7,14,26,49
 ,2,3,59,80000, , , , , , , , , , , , , , ,1,4,7,21,36,64
 ,3,4,95,90000, , , , , , , , , , , , , , ,1,4,7,17,30,54
 ,1,13,33,200000, , , , , , , , , , , , , , ,1,4,7,19,32,59
 ,2,3,57,120000, , , , , , , , , , , , , , ,1,4,7,14,25,46
 ,2,7,60,26000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,2,12,36,60000, ,5,6,0,0,0,0,0,1,0,0,0,0, ,1,4,7,21,37,67
 ,3,6,52,70000, , , , , , , , , , , , , , ,1,4,7,14,25,46
 ,2,6,51,60000, ,9,9,0,0,0,0,0,1,0,0,0,0, ,1,4,7,20,35,63
 ,3,4,10,60000, , , , , , , , , , , , , , ,1,4,7,21,37,66
 ,2,7,50,100000, , , , , , , , , , , , , , ,1,4,7,15,27,51
 ,2,12,57,86400, , , , , , , , , , , , , , ,1,4,7,21,36,64
 ,3,9,70,85000, , , , , , , , , , , , , , ,1,4,7,17,30,54
 ,1,10,7,44000, ,2,5,0,0,0,0,0,0,0,0,0,0,电,1,4,7,14,26,49
 ,2,6,89,200000, ,8,9,0,0,0,0,0,1,0,0,0,0, ,1,4,7,19,32,59
 ,5,4,100,72000, , , , , , , , , , , , , , ,1,4,7,18,31,56
 ,1,13,47,500000, , , , , , , , , , , , , , ,1,4,7,21,37,66
 ,2,6,70,70000, ,4,5,0,0,0,0,0,1,0,0,0,0, ,1,4,7,20,35,62
 ,2,6,89.6999969482422,75000, ,1,1,0,0,0,0,0,0,1,0,0,0, ,1,4,7,21,37,66
 ,3,7,60,80000, , , , , , , , , , , , , , ,1,4,7,20,34,61
 ,3,11,20,300000, , , , , , , , , , , , , , ,1,4,7,14,26,48
 ,3,3,40,40000, , , , , , , , , , , , , , ,2,4,7,22,38,69
 ,3,10,86,150000, ,3,6,0,0,0,0,0,1,0,0,0,0, ,1,4,7,16,28,52
 ,1,6,10,55000, , , , , , , , , , , , , , ,1,4,7,21,37,66
